area_id	year	functional_group	tonnes	comp	name_sf	name_sau
1	1966	Cephs	19.6447805364	2.66369513848586e-05	East Bering Sea	East Bering Sea
1	1966	Crusts	37184.314550698	0.0504193354123234	East Bering Sea	East Bering Sea
1	1966	Dem_Lg	42536.3107353805	0.0576762687193249	East Bering Sea	East Bering Sea
1	1966	Dem_SmMd	468768.97769539	0.635618018051435	East Bering Sea	East Bering Sea
1	1966	Other	67.3630552599	9.13396016193075e-05	East Bering Sea	East Bering Sea
1	1966	Pel_Lg	8627.7370459562	0.0116986092987219	East Bering Sea	East Bering Sea
1	1966	Pel_SmMd	178600.66979764	0.242170043584246	East Bering Sea	East Bering Sea
1	1966	Sharks_Rays	1696.0669252217	0.00229974838094456	East Bering Sea	East Bering Sea
1	1967	Cephs	4.177479831	5.29875539167298e-06	East Bering Sea	East Bering Sea
1	1967	Crusts	37105.3609503313	0.0470647948881839	East Bering Sea	East Bering Sea
1	1967	Dem_Lg	55127.8478238149	0.0699246896945142	East Bering Sea	East Bering Sea
1	1967	Dem_SmMd	404709.624594001	0.513337560475084	East Bering Sea	East Bering Sea
1	1967	Other	892.5009834619	0.00113205678770689	East Bering Sea	East Bering Sea
1	1967	Pel_Lg	6329.8344861032	0.00802882263194747	East Bering Sea	East Bering Sea
1	1967	Pel_SmMd	282416.815739667	0.35822019151232	East Bering Sea	East Bering Sea
1	1967	Sharks_Rays	1802.7183891173	0.00228658525485131	East Bering Sea	East Bering Sea
1	1968	Cephs	4.2138982726	5.0052164284778e-06	East Bering Sea	East Bering Sea
1	1968	Crusts	34657.9935099881	0.0411663375032632	East Bering Sea	East Bering Sea
1	1968	Dem_Lg	87328.7095120128	0.103727964761143	East Bering Sea	East Bering Sea
1	1968	Dem_SmMd	326476.567629359	0.387784842941468	East Bering Sea	East Bering Sea
1	1968	Other	3753.5955595875	0.00445847453956611	East Bering Sea	East Bering Sea
1	1968	Pel_Lg	9386.1434315416	0.0111487454761489	East Bering Sea	East Bering Sea
1	1968	Pel_SmMd	379231.977207818	0.450447068185519	East Bering Sea	East Bering Sea
1	1968	Sharks_Rays	1062.1101766577	0.00126156137646401	East Bering Sea	East Bering Sea
1	1969	Cephs	4.2782064051	4.59298306574781e-06	East Bering Sea	East Bering Sea
1	1969	Crusts	34466.5010327992	0.0370024352706578	East Bering Sea	East Bering Sea
1	1969	Dem_Lg	80719.4609020837	0.0866585390918971	East Bering Sea	East Bering Sea
1	1969	Dem_SmMd	326704.73544367	0.350742618589792	East Bering Sea	East Bering Sea
1	1969	Other	3070.4654768556	0.00329638044633599	East Bering Sea	East Bering Sea
1	1969	Pel_Lg	5140.9687855823	0.00551922472594346	East Bering Sea	East Bering Sea
1	1969	Pel_SmMd	479917.448899336	0.515228230485531	East Bering Sea	East Bering Sea
1	1969	Sharks_Rays	1441.8888639535	0.00154797840677675	East Bering Sea	East Bering Sea
1	1970	Cephs	4.3427098467	3.59306530871377e-06	East Bering Sea	East Bering Sea
1	1970	Crusts	34372.6096192962	0.0284391625396994	East Bering Sea	East Bering Sea
1	1970	Dem_Lg	122875.708703976	0.101664735110813	East Bering Sea	East Bering Sea
1	1970	Dem_SmMd	363890.13146086	0.301074917203796	East Bering Sea	East Bering Sea
1	1970	Other	3073.7709505068	0.0025431723875337	East Bering Sea	East Bering Sea
1	1970	Pel_Lg	9296.2502680831	0.00769151877939819	East Bering Sea	East Bering Sea
1	1970	Pel_SmMd	672996.797113672	0.556823165706577	East Bering Sea	East Bering Sea
1	1970	Sharks_Rays	2126.8801855459	0.00175973520687384	East Bering Sea	East Bering Sea
1	1971	Cephs	4.4960970747	3.3375713074531e-06	East Bering Sea	East Bering Sea
1	1971	Crusts	34448.8387966845	0.0255722805875055	East Bering Sea	East Bering Sea
1	1971	Dem_Lg	118828.633948894	0.088209625500165	East Bering Sea	East Bering Sea
1	1971	Dem_SmMd	406022.758969442	0.301401390582692	East Bering Sea	East Bering Sea
1	1971	Other	2933.2697454104	0.00217744340850453	East Bering Sea	East Bering Sea
1	1971	Pel_Lg	9387.3287623276	0.00696846144783569	East Bering Sea	East Bering Sea
1	1971	Pel_SmMd	772820.603410334	0.573685093737222	East Bering Sea	East Bering Sea
1	1971	Sharks_Rays	2670.4793364528	0.00198236716476722	East Bering Sea	East Bering Sea
1	1972	Cephs	4.6488495479	3.12313541933963e-06	East Bering Sea	East Bering Sea
1	1972	Crusts	25862.6391540487	0.0173747340169562	East Bering Sea	East Bering Sea
1	1972	Dem_Lg	100564.351757275	0.0675599598696306	East Bering Sea	East Bering Sea
1	1972	Dem_SmMd	325292.920167912	0.218534463240641	East Bering Sea	East Bering Sea
1	1972	Other	3181.3118957746	0.00213723153638051	East Bering Sea	East Bering Sea
1	1972	Pel_Lg	11682.1372301908	0.00784815601822954	East Bering Sea	East Bering Sea
1	1972	Pel_SmMd	1020858.64120432	0.685821244080564	East Bering Sea	East Bering Sea
1	1972	Sharks_Rays	1073.3540649734	0.000721088102178932	East Bering Sea	East Bering Sea
1	1973	Cephs	4.8016020212	4.31777021628305e-06	East Bering Sea	East Bering Sea
1	1973	Crusts	30705.4270302383	0.0276114050527415	East Bering Sea	East Bering Sea
